date,cases,country
26-01-20,0,India
25-01-20,0,India
24-01-20,0,India
23-01-20,0,India
22-01-20,0,India
21-01-20,0,India
20-01-20,0,India
19-01-20,0,India
18-01-20,0,India
17-01-20,0,India
16-01-20,0,India
15-01-20,0,India
14-01-20,0,India
13-01-20,0,India
12-01-20,0,India
11-01-20,0,India
10-01-20,0,India
09-01-20,0,India
08-01-20,0,India
07-01-20,0,India
06-01-20,0,India
05-01-20,0,India
04-01-20,0,India
03-01-20,0,India
02-01-20,0,India
01-01-20,0,India
31-12-19,0,India
16-06-20,301,Italy
15-06-20,338,Italy
14-06-20,346,Italy
13-06-20,163,Italy
12-06-20,379,Italy
11-06-20,202,Italy
10-06-20,283,Italy
09-06-20,280,Italy
08-06-20,197,Italy
07-06-20,270,Italy
06-06-20,518,Italy
05-06-20,177,Italy
04-06-20,321,Italy
03-06-20,318,Italy
02-06-20,178,Italy
01-06-20,355,Italy
31-05-20,416,Italy
30-05-20,516,Italy
29-05-20,593,Italy
28-05-20,584,Italy
27-05-20,397,Italy
26-05-20,300,Italy
25-05-20,531,Italy
24-05-20,669,Italy
23-05-20,652,Italy
22-05-20,642,Italy
21-05-20,665,Italy
20-05-20,813,Italy
19-05-20,451,Italy
18-05-20,675,Italy
17-05-20,875,Italy
16-05-20,789,Italy
15-05-20,992,Italy
14-05-20,888,Italy
13-05-20,1402,Italy
12-05-20,744,Italy
11-05-20,802,Italy
10-05-20,1083,Italy
09-05-20,1327,Italy
08-05-20,1401,Italy
07-05-20,1444,Italy
06-05-20,1075,Italy
05-05-20,1221,Italy
04-05-20,1389,Italy
03-05-20,1900,Italy
02-05-20,1965,Italy
01-05-20,1872,Italy
30-04-20,2086,Italy
29-04-20,2091,Italy
28-04-20,1739,Italy
27-04-20,2324,Italy
26-04-20,2357,Italy
25-04-20,3021,Italy
24-04-20,2646,Italy
23-04-20,3370,Italy
22-04-20,2729,Italy
21-04-20,2256,Italy
20-04-20,3047,Italy
19-04-20,3491,Italy
18-04-20,3493,Italy
17-04-20,3786,Italy
16-04-20,2667,Italy
15-04-20,2972,Italy
14-04-20,3153,Italy
13-04-20,4092,Italy
12-04-20,4694,Italy
11-04-20,3951,Italy
10-04-20,4204,Italy
09-04-20,3836,Italy
08-04-20,3039,Italy
07-04-20,3599,Italy
06-04-20,4316,Italy
05-04-20,4805,Italy
04-04-20,4585,Italy
03-04-20,4668,Italy
02-04-20,4782,Italy
01-04-20,4053,Italy
31-03-20,4050,Italy
30-03-20,5217,Italy
29-03-20,5974,Italy
28-03-20,5959,Italy
27-03-20,6153,Italy
26-03-20,5210,Italy
25-03-20,5249,Italy
24-03-20,4789,Italy
23-03-20,5560,Italy
22-03-20,6557,Italy
21-03-20,5986,Italy
20-03-20,5322,Italy
19-03-20,4207,Italy
18-03-20,3526,Italy
17-03-20,4000,Italy
16-03-20,2823,Italy
15-03-20,3497,Italy
14-03-20,2547,Italy
13-03-20,2651,Italy
12-03-20,2313,Italy
11-03-20,977,Italy
10-03-20,1797,Italy
09-03-20,1492,Italy
08-03-20,1247,Italy
07-03-20,778,Italy
06-03-20,769,Italy
05-03-20,587,Italy
04-03-20,466,Italy
03-03-20,347,Italy
02-03-20,561,Italy
01-03-20,240,Italy
29-02-20,238,Italy
28-02-20,250,Italy
27-02-20,78,Italy
26-02-20,93,Italy
25-02-20,97,Italy
24-02-20,53,Italy
23-02-20,62,Italy
22-02-20,14,Italy
21-02-20,0,Italy
20-02-20,0,Italy
19-02-20,0,Italy
18-02-20,0,Italy
17-02-20,0,Italy
16-02-20,0,Italy
15-02-20,0,Italy
14-02-20,0,Italy
13-02-20,0,Italy
12-02-20,0,Italy
11-02-20,0,Italy
10-02-20,0,Italy
09-02-20,0,Italy
08-02-20,0,Italy
07-02-20,0,Italy
06-02-20,0,Italy
05-02-20,0,Italy
04-02-20,0,Italy
03-02-20,0,Italy
02-02-20,0,Italy
01-02-20,0,Italy
31-01-20,3,Italy
30-01-20,0,Italy
29-01-20,0,Italy
28-01-20,0,Italy
27-01-20,0,Italy
26-01-20,0,Italy
25-01-20,0,Italy
24-01-20,0,Italy
23-01-20,0,Italy
22-01-20,0,Italy
21-01-20,0,Italy
20-01-20,0,Italy
19-01-20,0,Italy
18-01-20,0,Italy
17-01-20,0,Italy
16-01-20,0,Italy
15-01-20,0,Italy
14-01-20,0,Italy
13-01-20,0,Italy
12-01-20,0,Italy
11-01-20,0,Italy
10-01-20,0,Italy
09-01-20,0,Italy
08-01-20,0,Italy
07-01-20,0,Italy
06-01-20,0,Italy
05-01-20,0,Italy
04-01-20,0,Italy
03-01-20,0,Italy
02-01-20,0,Italy
01-01-20,0,Italy
31-12-19,0,Italy
16-06-20,85,Japan
15-06-20,73,Japan
14-06-20,47,Japan
13-06-20,50,Japan
12-06-20,40,Japan
11-06-20,41,Japan
10-06-20,41,Japan
09-06-20,36,Japan
08-06-20,33,Japan
07-06-20,38,Japan
06-06-20,39,Japan
05-06-20,46,Japan
04-06-20,32,Japan
03-06-20,56,Japan
02-06-20,46,Japan
01-06-20,33,Japan
31-05-20,47,Japan
30-05-20,85,Japan
29-05-20,68,Japan
28-05-20,0,Japan
27-05-20,28,Japan
26-05-20,42,Japan
25-05-20,31,Japan
24-05-20,14,Japan
23-05-20,23,Japan
22-05-20,89,Japan
21-05-20,39,Japan
20-05-20,20,Japan
19-05-20,60,Japan
18-05-20,20,Japan
17-05-20,48,Japan
16-05-20,44,Japan
15-05-20,114,Japan
14-05-20,55,Japan
13-05-20,150,Japan
12-05-20,76,Japan
11-05-20,51,Japan
10-05-20,119,Japan
09-05-20,81,Japan
08-05-20,84,Japan
07-05-20,109,Japan
06-05-20,123,Japan
05-05-20,174,Japan
04-05-20,218,Japan
03-05-20,295,Japan
02-05-20,263,Japan
01-05-20,193,Japan
30-04-20,236,Japan
29-04-20,276,Japan
28-04-20,191,Japan
27-04-20,203,Japan
26-04-20,290,Japan
25-04-20,652,Japan
24-04-20,468,Japan
23-04-20,276,Japan
22-04-20,378,Japan
21-04-20,367,Japan
20-04-20,390,Japan
19-04-20,566,Japan
18-04-20,628,Japan
17-04-20,585,Japan
16-04-20,482,Japan
15-04-20,455,Japan
14-04-20,390,Japan
13-04-20,507,Japan
12-04-20,1401,Japan
11-04-20,680,Japan
10-04-20,410,Japan
09-04-20,351,Japan
08-04-20,89,Japan
07-04-20,163,Japan
06-04-20,383,Japan
05-04-20,336,Japan
04-04-20,318,Japan
03-04-20,439,Japan
02-04-20,225,Japan
01-04-20,0,Japan
31-03-20,87,Japan
30-03-20,173,Japan
29-03-20,194,Japan
28-03-20,135,Japan
27-03-20,96,Japan
26-03-20,75,Japan
25-03-20,65,Japan
24-03-20,39,Japan
23-03-20,43,Japan
22-03-20,39,Japan
21-03-20,57,Japan
20-03-20,77,Japan
19-03-20,44,Japan
18-03-20,5,Japan
17-03-20,10,Japan
16-03-20,34,Japan
15-03-20,43,Japan
14-03-20,62,Japan
13-03-20,56,Japan
12-03-20,51,Japan
11-03-20,54,Japan
10-03-20,26,Japan
09-03-20,33,Japan
08-03-20,47,Japan
07-03-20,59,Japan
06-03-20,32,Japan
05-03-20,49,Japan
04-03-20,14,Japan
03-03-20,0,Japan
02-03-20,15,Japan
01-03-20,9,Japan
29-02-20,20,Japan
28-02-20,24,Japan
27-02-20,22,Japan
26-02-20,20,Japan
25-02-20,0,Japan
24-02-20,12,Japan
23-02-20,27,Japan
22-02-20,12,Japan
21-02-20,9,Japan
20-02-20,18,Japan
19-02-20,7,Japan
18-02-20,0,Japan
17-02-20,7,Japan
16-02-20,14,Japan
15-02-20,8,Japan
14-02-20,1,Japan
13-02-20,4,Japan
12-02-20,0,Japan
11-02-20,0,Japan
10-02-20,0,Japan
09-02-20,0,Japan
08-02-20,0,Japan
07-02-20,0,Japan
06-02-20,0,Japan
